range,column,x_start,x_end,y_start,y_end
1,1,-2.038,1.977,24.268,24.776
1,2,-2.038,1.977,23.760,24.268
1,3,-2.038,1.977,23.252,23.760
1,4,-2.038,1.977,22.744,23.252
1,5,-2.038,1.977,22.236,22.744
1,6,-2.038,1.977,21.728,22.236
1,7,-2.038,1.977,21.220,21.728
1,8,-2.038,1.977,20.712,21.220
1,9,-2.038,1.977,20.204,20.712
1,10,-2.038,1.977,19.696,20.204
1,11,-2.038,1.977,19.188,19.696
1,12,-2.038,1.977,18.680,19.188
1,13,-2.038,1.977,18.172,18.680
1,14,-2.038,1.977,17.664,18.172
1,15,-2.038,1.977,17.156,17.664
1,16,-2.038,1.977,16.648,17.156
1,17,-2.038,1.977,16.140,16.648
1,18,-2.038,1.977,15.632,16.140
1,19,-2.038,1.977,15.124,15.632
1,20,-2.038,1.977,14.616,15.124
1,21,-2.038,1.977,14.108,14.616
1,22,-2.038,1.977,13.600,14.108
1,23,-2.038,1.977,13.092,13.600
1,24,-2.038,1.977,12.584,13.092
1,25,-2.038,1.977,12.076,12.584
1,26,-2.038,1.977,11.568,12.076
1,27,-2.038,1.977,11.060,11.568
1,28,-2.038,1.977,10.552,11.060
1,29,-2.038,1.977,10.044,10.552
1,30,-2.038,1.977,9.536,10.044
1,31,-2.038,1.977,9.028,9.536
1,32,-2.038,1.977,8.520,9.028
1,33,-2.038,1.977,8.012,8.520
1,34,-2.038,1.977,7.504,8.012
1,35,-2.038,1.977,6.996,7.504
1,36,-2.038,1.977,6.488,6.996
1,37,-2.038,1.977,5.980,6.488
1,38,-2.038,1.977,5.472,5.980
1,39,-2.038,1.977,4.964,5.472
1,40,-2.038,1.977,4.456,4.964
1,41,-2.038,1.977,3.948,4.456
1,42,-2.038,1.977,3.440,3.948
1,43,-2.038,1.977,2.932,3.440
1,44,-2.038,1.977,2.424,2.932
1,45,-2.038,1.977,1.916,2.424
1,46,-2.038,1.977,1.408,1.916
1,47,-2.038,1.977,0.900,1.408
1,48,-2.038,1.977,0.392,0.900
2,1,1.977,5.993,24.268,24.776
2,2,1.977,5.993,23.760,24.268
2,3,1.977,5.993,23.252,23.760
2,4,1.977,5.993,22.744,23.252
2,5,1.977,5.993,22.236,22.744
2,6,1.977,5.993,21.728,22.236
2,7,1.977,5.993,21.220,21.728
2,8,1.977,5.993,20.712,21.220
2,9,1.977,5.993,20.204,20.712
2,10,1.977,5.993,19.696,20.204
2,11,1.977,5.993,19.188,19.696
2,12,1.977,5.993,18.680,19.188
2,13,1.977,5.993,18.172,18.680
2,14,1.977,5.993,17.664,18.172
2,15,1.977,5.993,17.156,17.664
2,16,1.977,5.993,16.648,17.156
2,17,1.977,5.993,16.140,16.648
2,18,1.977,5.993,15.632,16.140
2,19,1.977,5.993,15.124,15.632
2,20,1.977,5.993,14.616,15.124
2,21,1.977,5.993,14.108,14.616
2,22,1.977,5.993,13.600,14.108
2,23,1.977,5.993,13.092,13.600
2,24,1.977,5.993,12.584,13.092
2,25,1.977,5.993,12.076,12.584
2,26,1.977,5.993,11.568,12.076
2,27,1.977,5.993,11.060,11.568
2,28,1.977,5.993,10.552,11.060
2,29,1.977,5.993,10.044,10.552
2,30,1.977,5.993,9.536,10.044
2,31,1.977,5.993,9.028,9.536
2,32,1.977,5.993,8.520,9.028
2,33,1.977,5.993,8.012,8.520
2,34,1.977,5.993,7.504,8.012
2,35,1.977,5.993,6.996,7.504
2,36,1.977,5.993,6.488,6.996
2,37,1.977,5.993,5.980,6.488
2,38,1.977,5.993,5.472,5.980
2,39,1.977,5.993,4.964,5.472
2,40,1.977,5.993,4.456,4.964
2,41,1.977,5.993,3.948,4.456
2,42,1.977,5.993,3.440,3.948
2,43,1.977,5.993,2.932,3.440
2,44,1.977,5.993,2.424,2.932
2,45,1.977,5.993,1.916,2.424
2,46,1.977,5.993,1.408,1.916
2,47,1.977,5.993,0.900,1.408
2,48,1.977,5.993,0.392,0.900
3,1,5.993,10.009,24.268,24.776
3,2,5.993,10.009,23.760,24.268
3,3,5.993,10.009,23.252,23.760
3,4,5.993,10.009,22.744,23.252
